Year,Community,ID,Species,Alive_or_Dead,Height,Cause_of_death,Replaced_by,Latitude,Longitude
2019,Sacha_Waysa,1,Chonta,Alive,0.3,,,-0.824911835,-77.80421487
2019,Sacha_Waysa,2,Chonta,Alive,0.3,,,-0.825064929,-77.80421487
2019,Sacha_Waysa,3,Chonta,Alive,0.4,,,-0.825252337,-77.80420959
2019,Sacha_Waysa,4,Chonta,Alive,0.5,,,-0.825463501,-77.80419903
2019,Sacha_Waysa,5,Chonta,Alive,0.5,,,-0.824906556,-77.80437588
2019,Sacha_Waysa,6,Chonta,Alive,0.3,,,-0.825057011,-77.80438116
2019,Sacha_Waysa,7,Chonta,Alive,0.3,,,-0.825247058,-77.8043838
2019,Sacha_Waysa,8,Chonta,Alive,0.3,,,-0.825458222,-77.80438116
2019,Sacha_Waysa,9,Chonta,Alive,0.4,,,-0.824914475,-77.80458176
2019,Sacha_Waysa,10,Ungurahua,Alive,0.4,,,-0.825070208,-77.80457385
2019,Sacha_Waysa,11,Ungurahua,Alive,0.5,,,-0.825241779,-77.80456593
2019,Sacha_Waysa,12,Ungurahua,Alive,0.5,,,-0.825463501,-77.80456329
2019,Sacha_Waysa,13,Ungurahua,Alive,0.3,,,-0.824922394,-77.80476917
2019,Sacha_Waysa,14,Ungurahua,Alive,0.3,,,-0.825083406,-77.80476653
2019,Sacha_Waysa,15,Ungurahua,Alive,0.6,,,-0.825252337,-77.80475861
2019,Sacha_Waysa,16,Ungurahua,Alive,0.5,,,-0.825460862,-77.80475333
2019,Sacha_Waysa,17,Morete,Alive,0.4,,,-0.82494087,-77.80498825
2019,Sacha_Waysa,18,Morete,Alive,0.3,,,-0.825104523,-77.80498562
2019,Sacha_Waysa,19,Morete,Alive,0.5,,,-0.825276093,-77.8049777
2019,Sacha_Waysa,20,Morete,Alive,0.4,,,-0.825484618,-77.8049777
2019,Sacha_Waysa,21,Morete,Alive,0.3,,,-0.824906556,-77.80519414
2019,Sacha_Waysa,22,Morete,Alive,0.3,,,-0.825083406,-77.8051915
2019,Sacha_Waysa,23,Morete,Alive,0.3,,,-0.825265535,-77.8051915
2019,Sacha_Waysa,24,Morete,Alive,0.4,,,-0.825516292,-77.80517566
2019,Sacha_Waysa,25,Morete,Alive,0.5,,,-0.824808893,-77.80542642
2019,Sacha_Waysa,26,Morete,Alive,0.5,,,-0.824985743,-77.8054185
2019,Sacha_Waysa,27,Morete,Alive,0.5,,,-0.825183709,-77.80540794
2019,Sacha_Waysa,28,Caoba,Alive,0.3,,,-0.825376396,-77.80539475
2019,Sacha_Waysa,29,Caoba,Alive,0.5,,,-0.825577002,-77.80539211
2019,Sacha_Waysa,30,Caoba,Alive,0.4,,,-0.824782497,-77.80566926
2019,Sacha_Waysa,31,Caoba,Alive,0.5,,,-0.824959347,-77.80565606
2019,Sacha_Waysa,32,Caoba,Alive,0.3,,,-0.825146755,-77.80564022
2019,Sacha_Waysa,33,Guaba,Alive,0.3,,,-0.825342082,-77.80562967
2019,Sacha_Waysa,34,Guaba,Alive,0.3,,,-0.825579641,-77.80561119
2019,Sacha_Waysa,35,Guaba,Alive,0.4,,,-0.825049092,-77.80585139
2019,Sacha_Waysa,36,Guaba,Alive,0.4,,,-0.825254977,-77.80585139
2019,Sacha_Waysa,37,Guaba,Alive,0.3,,,-0.825455583,-77.80584875
2019,Sacha_Waysa,38,Guaba,Alive,0.4,,,-0.825701061,-77.80584611
2019,Sacha_Waysa,39,Jackfruit,Alive,0.3,,,-0.82535264,-77.80600976
2019,Sacha_Waysa,40,Jackfruit,Alive,0.4,,,-0.825695782,-77.8060256
2019,Sacha_Waysa,41,Jackfruit,Alive,0.4,,,-0.825516292,-77.80614438
2019,Sacha_Waysa,42,Jackfruit,Alive,0.3,,,-0.825724817,-77.80622884
2020,Sacha_Waysa,1,Chonta,Alive,1,,,-0.824911835,-77.80421487
2020,Sacha_Waysa,2,Chonta,Alive,2,,,-0.825064929,-77.80421487
2020,Sacha_Waysa,3,Chonta,Alive,1,,,-0.825252337,-77.80420959
2020,Sacha_Waysa,4,Chonta,Alive,2,,,-0.825463501,-77.80419903
2020,Sacha_Waysa,5,Chonta,Alive,2,,,-0.824906556,-77.80437588
2020,Sacha_Waysa,6,Chonta,Dead,NA,Environmental,43,-0.825057011,-77.80438116
2020,Sacha_Waysa,7,Chonta,Dead,NA,Environmental,44,-0.825247058,-77.8043838
2020,Sacha_Waysa,8,Chonta,Alive,2,,,-0.825458222,-77.80438116
2020,Sacha_Waysa,9,Chonta,Alive,2,,,-0.824914475,-77.80458176
2020,Sacha_Waysa,10,Ungurahua,Alive,1,,,-0.825070208,-77.80457385
2020,Sacha_Waysa,11,Ungurahua,Alive,2,,,-0.825241779,-77.80456593
2020,Sacha_Waysa,12,Ungurahua,Dead,NA,Insects,45,-0.825463501,-77.80456329
2020,Sacha_Waysa,13,Ungurahua,Alive,1.5,,,-0.824922394,-77.80476917
2020,Sacha_Waysa,14,Ungurahua,Alive,2,,,-0.825083406,-77.80476653
2020,Sacha_Waysa,15,Ungurahua,Alive,1.5,,,-0.825252337,-77.80475861
2020,Sacha_Waysa,16,Ungurahua,Alive,1,,,-0.825460862,-77.80475333
2020,Sacha_Waysa,17,Morete,Alive,1,,,-0.82494087,-77.80498825
2020,Sacha_Waysa,18,Morete,Alive,1.5,,,-0.825104523,-77.80498562
2020,Sacha_Waysa,19,Morete,Alive,2,,,-0.825276093,-77.8049777
2020,Sacha_Waysa,20,Morete,Alive,2,,,-0.825484618,-77.8049777
2020,Sacha_Waysa,21,Morete,Alive,1.5,,,-0.824906556,-77.80519414
2020,Sacha_Waysa,22,Morete,Dead,NA,Insects,46,-0.825083406,-77.8051915
2020,Sacha_Waysa,23,Morete,Alive,1.3,,,-0.825265535,-77.8051915
2020,Sacha_Waysa,24,Morete,Alive,2,,,-0.825516292,-77.80517566
2020,Sacha_Waysa,25,Morete,Alive,1.7,,,-0.824808893,-77.80542642
2020,Sacha_Waysa,26,Morete,Alive,2,,,-0.824985743,-77.8054185
2020,Sacha_Waysa,27,Morete,Alive,1,,,-0.825183709,-77.80540794
2020,Sacha_Waysa,28,Caoba,Alive,1,,,-0.825376396,-77.80539475
2020,Sacha_Waysa,29,Caoba,Alive,1.2,,,-0.825577002,-77.80539211
2020,Sacha_Waysa,30,Caoba,Alive,1.3,,,-0.824782497,-77.80566926
2020,Sacha_Waysa,31,Caoba,Alive,1,,,-0.824959347,-77.80565606
2020,Sacha_Waysa,32,Caoba,Dead,NA,Insects,47,-0.825146755,-77.80564022
2020,Sacha_Waysa,33,Guaba,Alive,1,,,-0.825342082,-77.80562967
2020,Sacha_Waysa,34,Guaba,Alive,2,,,-0.825579641,-77.80561119
2020,Sacha_Waysa,35,Guaba,Alive,1,,,-0.825049092,-77.80585139
2020,Sacha_Waysa,36,Guaba,Alive,2,,,-0.825254977,-77.80585139
2020,Sacha_Waysa,37,Guaba,Alive,1.2,,,-0.825455583,-77.80584875
2020,Sacha_Waysa,38,Guaba,Alive,1.9,,,-0.825701061,-77.80584611
2020,Sacha_Waysa,39,Jackfruit,Alive,2,,,-0.82535264,-77.80600976
2020,Sacha_Waysa,40,Jackfruit,Alive,2,,,-0.825695782,-77.8060256
2020,Sacha_Waysa,41,Jackfruit,Dead,NA,Disease,48,-0.825516292,-77.80614438
2020,Sacha_Waysa,42,Jackfruit,Alive,1.4,,,-0.825724817,-77.80622884
2020,Sacha_Waysa,43,Chonta,Alive,1,,,-0.825057011,-77.80438116
2020,Sacha_Waysa,44,Ungurahua,Alive,1,,,-0.825247058,-77.8043838
2020,Sacha_Waysa,45,Morete,Alive,1,,,-0.825463501,-77.80456329
2020,Sacha_Waysa,46,Guaba,Alive,1.2,,,-0.825083406,-77.8051915
2020,Sacha_Waysa,47,Jackfruit,Alive,1.3,,,-0.825146755,-77.80564022
2020,Sacha_Waysa,48,Jackfruit,Alive,1.7,,,-0.825516292,-77.80614438
2021,Sacha_Waysa,1,Chonta,Alive,3,,,-0.824911835,-77.80421487
2021,Sacha_Waysa,2,Chonta,Alive,3.4,,,-0.825064929,-77.80421487
2021,Sacha_Waysa,3,Chonta,Alive,4,,,-0.825252337,-77.80420959
2021,Sacha_Waysa,4,Chonta,Alive,2.7,,,-0.825463501,-77.80419903
2021,Sacha_Waysa,5,Chonta,Alive,3.2,,,-0.824906556,-77.80437588
2021,Sacha_Waysa,8,Chonta,Alive,2.7,,,-0.825458222,-77.80438116
2021,Sacha_Waysa,9,Chonta,Alive,4,,,-0.824914475,-77.80458176
2021,Sacha_Waysa,10,Ungurahua,Alive,3.8,,,-0.825070208,-77.80457385
2021,Sacha_Waysa,11,Ungurahua,Alive,3,,,-0.825241779,-77.80456593
2021,Sacha_Waysa,13,Ungurahua,Alive,2.6,,,-0.824922394,-77.80476917
2021,Sacha_Waysa,14,Ungurahua,Alive,3,,,-0.825083406,-77.80476653
2021,Sacha_Waysa,15,Ungurahua,Dead,NA,Unknown,49,-0.825252337,-77.80475861
2021,Sacha_Waysa,16,Ungurahua,Alive,2,,,-0.825460862,-77.80475333
2021,Sacha_Waysa,17,Morete,Alive,2.5,,,-0.82494087,-77.80498825
2021,Sacha_Waysa,18,Morete,Alive,3.9,,,-0.825104523,-77.80498562
2021,Sacha_Waysa,19,Morete,Dead,NA,Disease,50,-0.825276093,-77.8049777
2021,Sacha_Waysa,20,Morete,Alive,3,,,-0.825484618,-77.8049777
2021,Sacha_Waysa,21,Morete,Alive,3.7,,,-0.824906556,-77.80519414
2021,Sacha_Waysa,23,Morete,Alive,2,,,-0.825265535,-77.8051915
2021,Sacha_Waysa,24,Morete,Alive,2.4,,,-0.825516292,-77.80517566
2021,Sacha_Waysa,25,Morete,Alive,2.3,,,-0.824808893,-77.80542642
